ROTACION DUANA @@@@@@@
CODIGO@MEDICAMENTO@MOLECULA@PROMEDIO MES@STOCK FARMACIA@PEDIDO 60 DIAS@@STOCK BODEGA
180A0370299@ABACAVIR 300mg TABLETA | FRASCO X 60. LEGRAND@ABACAVIR@0@60@0@@0
180C1360001@OBAX 10mg TABLETA | CAJA X 20. HUMAX@CLOBAZAM@585@520@650@@11650
1144C1361358@URBADAN 10mg TABLETA | CAJA X 20. SANOFI-AVENTIS@CLOBAZAM@90@20@160@@0
1102C1371371@TRIMICORT 0.05% LOCION | FRASCO X 60ML. PROFMA EU@CLOBETASOL@2@2@2@@0
168C1370001@CLOBETASOL 0.05% CREMA | TUBO X 30GR. GEN-FAR S.A@CLOBETASOL@97@109@85@@1
1116C1391381@ANAFRANIL RETARD-SANDOZ 75mg TABLETA | CAJA X 10. NOVARTIS@CLOMIPRAMINA@105@50@160@@0
1175C0211028@COQUAN 0.5mg TABLETA | CAJA X 30. SIEGFRIED@CLONAZEPAM@700@1320@80@@0
180C0211075@CLOZAM 2.5mg/20ml SOLUCION ORAL | FRASCO X 1. HUMAX@CLONAZEPAM@30@27@34@@1945
168C0210001@CLONAZEPAM  0.5mg TABLETA | CAJA X 300. GEN-FAR S.A@CLONAZEPAM@160@30@290@@0
180C0211076@CLONAZEPAM 2mg TABLETA | CAJA X 100. HUMAX@CLONAZEPAM@1035@840@1230@@33217
180C0211019@CLONAZEPAM 2mg TABLETA | CAJA X 30. HUMAX@CLONAZEPAM@60@0@120@@0
150C0470002@CLONIDINA 0.150mg TABLETA | CAJA X 500. ECAR@CLONIDINA@315@250@380@@96915
1145C1401382@DORIXINA RELAX 5/125mg TABLETA | CAJA X 100. SCANDINAVIA@CLONIXINATO DE LISINA+CICLOBENZAPRINA@15@30@0@@0
1M100C0730001@PLATEMAX 75mg TABLETA | CAJA X 30. MSN LABS AMERICAS @CLOPIDOGREL@739@376@1103@@40
150C0271040@CLORFENIRAMINA 4mg TABLETA | CAJA X 500. ECAR@CLORFENIRAMINA@770@606@934@@31250
150C0271041@CLORFENIRAMINA JARABE 2mg/5ml SOLUCION ORAL | FRASCO X 120ML. ECAR@CLORFENIRAMINA@54@28@81@@1799
173C1461390@TRANSTEC 35mcg/h(20mg) SISTEMA TRANSDERMICO | CAJA X 5. GRUNENTHAL@CLORHIDRATO DE BUPRENORFINA@20@5@35@@0
180C0281042@CLOROQUINA 250mg TABLETA O CAPSULA | CAJA X 250. HUMAX@CLOROQUINA@844@1185@504@@21582
119S0042261@CLORURO DE SODIO  REF:ARB1322 BOLSA 0.9%  250ml SOLUCION INYECTABLE | CAJA X 56. BAXTER@CLORURO DE SODIO@19@8@31@@0
119S0042260@CLORURO DE SODIO REF:ARB1302 BOLSA 0.9% 100ml SOLUCION INYECTABLE | CAJA X 100. BAXTER@CLORURO DE SODIO@4@6@2@@0
119S0042263@CLORURO DE SODIO REF:ARB1323 BOLSA 0.9% 500ml SOLUCION INYECTABLE | CAJA X 40. BAXTER@CLORURO DE SODIO@44@0@89@@13
119S0044135@CLORURO DE SODIO REF:ARB1324 BOLSA 0.9% 1000ml SOLUCION INYECTABLE | CAJA X 20. BAXTER@CLORURO DE SODIO@2@0@5@@0
119S0042255@CLORURO DE SODIO REF:ARB1324 BOLSA 0.9% 1000ml SOLUCION INYECTABLE | CAJA X 20. BAXTER@CLORURO DE SODIO@0@9@0@@0
1125C0311067@CLOTRIMAZOL 100mg OVULO O TABLETA VAGINAL | CAJA X 10. PROCAPS@CLOTRIMAZOL@25@30@21@@0
111C0311051@CLOTRIMAZOL 100mg OVULO O TABLETA VAGINAL | CAJA X 48. ANGLOPHARMA@CLOTRIMAZOL@31@107@0@@2211
198C0311061@CLOTRIMAZOL 1% CREMA VAGINAL | TUBO X 40g. LAFRANCOL@CLOTRIMAZOL@50@61@39@@0
198C0311060@CLOTRIMAZOL TOPICO 1% CREMA | TUBO X 40GR. LAFRANCOL@CLOTRIMAZOL@163@189@138@@0
168C1511403@CLOTRIMAZOL+NEOMICINA+BETAMETASONA 17 0.04+1+0.5% CREMA | TUBO X 40G. GEN-FAR S.A@CLOTRIMAZOL+NEOMICINA+BETAMETASONA 17@101@111@92@@0
12C0320043@CLOZAPINA 100mg TABLETA | CAJA X 100. HUMAX@CLOZAPINA@1325@1000@1650@@27730
1157C0321079@CLOZAPINA 25mg TABLETA | CAJA X 100. HUMAX@CLOZAPINA@705@810@600@@10530
199C0340001@COLCHICINA MINIPACK 0.5mg TABLETA | CAJA X 300. LAPROFF@COLCHICINA@104@0@209@@101
1168C0341085@COLCHICINA 0.5mg TABLETA | CAJA X 40. GEN-FAR S.A@COLCHICINA@182@0@364@@10
1734CND70001@HYFIBER 946ml SOLUCION ORAL | TARRO X 1. MEDTRITION@COLESTEROL-SODIO-POTASIO-FOSFO@1@0@2@@1
1168C0351086@COLESTIRAMINA 4g POLVO PARA DISOLVER | CAJA X 100. GEN-FAR S.A@COLESTIRAMINA@462@883@41@@10
1158C0361088@FIXAMICIN 15ml SUSPENSION OTICA | FRASCO X 1. TECNOQUIMICAS@COLISTINA SULFATO+HIDROCORTISONA+NEOMICINA SULFATO@8@15@2@@2229
199C1541416@COMPLEJO B . TABLETA | CAJA X 300. LAPROFF@COMPLEJO B@30@150@0@@191
150C1541412@COMPLEJO B 10ml SOLUCION INYECTABLE | CAJA X 12. ECAR@COMPLEJO B@7@0@15@@746
1161C1930002@B-100 COMPLEX . TABLETA | FRASCO X 50. VARIOS E IMPORTADOS@COMPLEJO B+HIERRO+ZINC@25@0@50@@0
1203M0750002@DUMISOY D 400g POLVO PARA DISOLVER | CAJA X 24 LATAS. DUMIAN MEDICAL S.A.S@COMPLEMENTO ALIMENTICIO PROTEINA AISLADA DE SOYA@116@40@193@@0
11A0600393@ENSURE VAINILLA 900g POLVO PARA DISOLVER | CAJA X 6 LATAS. ABBOT LABORATORIOS DE COLOMBIA@COMPLEMENTO NUTRICIONAL@10@0@20@@299
11A0600377@PEDIASURE VAINILLA 400mg POLVO PARA DISOLVER | CAJA X 24. LAFRANCOL (ABBOTT)@COMPLEMENTO NUTRICIONAL@23@14@32@@383
11A0600395@ENSURE VAINILLA 400g POLVO PARA DISOLVER | CAJA X 24 LATAS. ABBOT LABORATORIOS DE COLOMBIA@COMPLEMENTO NUTRICIONAL@4@0@9@@12518
1203A0600004@DUMISUREE 1000g POLVO PARA DISOLVER | CAJA X 6. DUMIAN MEDICAL S.A.S@COMPLEMENTO NUTRICIONAL@84@84@85@@2
1203A0600007@ACTISURE NINOS VAINILLA 400g POLVO PARA DISOLVER | CAJA X 24. DUMIAN MEDICAL S.A.S@COMPLEMENTO NUTRICIONAL@10@42@0@@0
1270A0600001@ACTISURE 400gr POLVO PARA DISOLVER | CAJA X 24. DUMIAN@COMPLEMENTO NUTRICIONAL@73@66@80@@0
1151H0282435@HUMYLUB OFTENO 1+1.8mg SOLUCION OFTALMICAS | FRASCO X 15ML. SOPHIA@CONDROITIN+HIALURONATO@81@80@82@@307
1161A0430334@CREMA LUBRIDERM C/PERF EXTRA HUMEC . CREMA | FRASCO X 400ml. VARIOS E IMPORTADOS@COSMETICOS@2@1@4@@3
1161C1640002@CRANBERRY 560MG CAPSULA | FRASCO X 50. VARIOS E IMPORTADOS@CRANBERRY+ARANDANO@25@0@50@@100
123C0411089@NAZOTRAL 2% SOLUCION NASAL | FRASCO X 5ml. BEST LTDA@CROMOGLICATO DE SODIO@0@2@0@@0
124C0410001@MIRATROL  2%5ml SOLUCION OFTALMICAS | CAJA X 1. BIOCHEM@CROMOGLICATO DE SODIO@0@1@0@@0
154C0411096@CROMOGLICATO DE SODIO 2% SOLUCION OFTALMICAS | FRASCO X 5ML. EXPOFARMA@CROMOGLICATO DE SODIO@2@9@0@@352
154C0411095@CROMOGLICATO DE SODIO 4% SOLUCION OFTALMICAS | FRASCO X 5ML. EXPOFARMA@CROMOGLICATO DE SODIO@15@15@16@@581
154C0411093@CROMOGLICATO DE SODIO 4% SOLUCION NASAL | FRASCO X 10ml. EXPOFARMA@CROMOGLICATO DE SODIO@2@4@0@@518
127C0420002@LIRODERM 10% LOCION | FRASCO X 60ml. BIOQUIFAR@CROTAMITON@7@0@14@@0
132D0391577@PRADAXA 110mg CAPSULA | CAJA X 30. BOEHRINGER@DABIGATRAN ETEXILATO@120@60@180@@60
132D0391578@PRADAXA  150mg CAPSULA | CAJA X 30. BOEHRINGER@DABIGATRAN ETEXILATO@412@0@825@@0
1121D0411579@FRAGMIN 2500ui SOLUCION INYECTABLE | CAJA X 10. PFIZER@DALTEPARINA@15@30@0@@0
1121D0410001@FRAGMIN ANTI FACTOR-XA 10000ui/0.4ml SOLUCION INYECTABLE | CAJA X 5. PFIZER@DALTEPARINA@30@0@60@@0
1416D0020001@CIPLADANOGEN 200mg CAPSULA | CAJA X 30. AVALON PHARMACEUTICAL S.A@DANAZOL@210@150@270@@810
114D1100001@FORXIGA 10mg TABLETA | CAJA X 28. ASTRA ZENECA@DAPAGLIFLOZINA@141@56@226@@0
114D1160001@XIGDUO XR RECUBIERTA 10/1000mg TABLETA | CAJA X 28. ASTRA ZENECA@DAPAGLIFLOZINA+METFORMINA@560@84@1036@@0
114D1160002@XIGDUO XR RECUBIERTA 5mg/1000mg TABLETA | CAJA X 56. ASTRA ZENECA@DAPAGLIFLOZINA+METFORMINA@42@84@0@@0
1116D0421581@ENABLEX RETARD 15mg TABLETA | CAJA X 28. ASPEN@DARIFENACINA@28@0@56@@0
1990E100001@DARUNAVIR 600mg TABLETA | CAJA X 30. SALUSPHARMA S.A.S.@DARUNAVIR@210@0@420@@0
1T004E100002@FURTHAS 600mg TABLETA | CAJA X 60. THE LABS SAS@DARUNAVIR@90@60@120@@0
1T004E100001@FURTHAS (R) 800mg TABLETA | CAJA X 30. THE LABS SAS@DARUNAVIR@390@120@660@@0
127D0471591@CORTIDEXAN 6mg TABLETA | CAJA X 10. BIOQUIFAR@DEFLAZACORT@1372@1059@1686@@34360
168D0471595@DEFLAZACORT 30mg TABLETA | CAJA X 10. GEN-FAR S.A@DEFLAZACORT@157@450@0@@0
127D0471590@CORTIDEXAN 30mg TABLETA | CAJA X 10. BIOQUIFAR@DEFLAZACORT@82@435@0@@690
192D0501613@DESLORATADINA JARABEL 2.5mg/5ml(0.05g) SOLUCION ORAL | FRASCO X 60ml. LA SANTE@DESLORATADINA@64@170@0@@1
192D0501614@DESLORATADINA 5mg TABLETA | CAJA X 60. LA SANTE@DESLORATADINA@1715@428@3002@@59
147D0511625@DESONIDA 0.05% CREMA | TUBO X 15GR. SIEGFRIED@DESONIDA@41@44@38@@8
124D0511624@TRESILEN 0.10% CREMA | TUBO X 15g. BIOCHEM@DESONIDA@49@97@2@@879
124D0511623@TRESILEN 0.5% CREMA | TUBO X 15G. BIOCHEM@DESONIDA@46@0@93@@0
147D0511627@DESONIDA TOPICA 0.05% EMULSION | FRASCO X 120ml. SIEGFRIED@DESONIDA@2@0@4@@0
1121D0904719@PRISTIQ 50mg TABLETA | CAJA X 28. PFIZER@DESVENLAFAXINA@56@56@56@@0
1163D0061445@DEXAMETASONA 4mg/ml SOLUCION INYECTABLE | CAJA X 10. VITALIS@DEXAMETASONA@24@14@35@@8165
151D0581639@OPHTHASONA 0.1% SOLUCION OFTALMICAS | FRASCO X 5ML. ESPECIALIDADES OFT@DEXAMETASONA@14@0@28@@3
1163D0061446@DEXAMETASONA FOSFATO 8mg/2ml SOLUCION INYECTABLE | CAJA X 10. VITALIS@DEXAMETASONA@50@49@52@@10001
168D0560001@DIACEREINA  50mg CAPSULA | CAJA X 30. GEN-FAR S.A@DIACEREINA@60@0@120@@0
168D0151457@DICLOFENACO GEL  1% GEL | TUBO X 50G. GEN-FAR S.A@DICLOFENACO@704@494@914@@0
168D0151456@DICLOFENACO 50mg TABLETA | CAJA X 30. GEN-FAR S.A@DICLOFENACO@231@260@202@@6
145D0150001@DICLOFENACO  75mg/3ml SOLUCION INYECTABLE | CAJA X 100. CORPAUL@DICLOFENACO@56@37@76@@0
1151D0150001@3A OFTENO 0.1% SOLUCION OFTALMICAS | FRASCO X 5ML. SOPHIA@DICLOFENACO@2@4@1@@57
1163D0151480@DICLOFENACO 75mg SOLUCION INYECTABLE | CAJA X 10. VITALIS@DICLOFENACO@119@0@239@@13
150D0150002@DICLOFENACO 50mg TABLETA | CAJA X 500. ECAR@DICLOFENACO@190@366@15@@61708
192D0161489@DICLOXACILINA 250mg/5ml SUSPENSION ORAL | FRASCO X 80ML. LA SANTE@DICLOXACILINA@0@3@0@@21
127D0160042@CLOXIDIN 500mg CAPSULA | CAJA X 250. BIOQUIFAR@DICLOXACILINA@487@515@460@@17000
1E101D1070001@METRINELLE 2mg TABLETA | CAJA X 28. EXELTIS@DIENOGEST@255@112@398@@0
1E101D0950001@DIENILLE 2+0.03mg TABLETA | CAJA X 21. EXELTIS@DIENOGEST-ETINILESTRADIOL@94@63@126@@0
199D0181495@DIFENHIDRAMINA JARABE 12.5mg/5ml SOLUCION ORAL | FRASCO X 120ML. LAPROFF@DIFENHIDRAMINA@7@12@3@@894
1312D0180001@DIFENHIDRAMINA 50mg CAPSULA | CAJA X 100. SALUSPHARMA S.A.S.@DIFENHIDRAMINA@551@0@1102@@260
180D0200001@DIHIDROCODEINA BITARTRATO  JARABE 120ml SOLUCION ORAL | FRASCO X 1. HUMAX@DIHIDROCODEINA BITARTRATO@39@31@47@@830
168D0361565@DILTIAZEM 60mg TABLETA | CAJA X 20. GEN-FAR S.A@DILTIAZEM@1005@60@1950@@10
150D0231510@PASEDOL 50mg TABLETA | BOLSA X 600. ECAR@DIMENHIDRINATO@694@1191@197@@27435
1156D0701654@SMECTA 3g POLVO PARA DISOLVER | CAJA X 10. LAFRANCOL@DIOSMECTITA@0@7@0@@0
126F0602178@DAFLON 500mg TABLETA | CAJA X 30. LABORATORIOS SERVIER DE COLOMB@DIOSMINA + HESPERIDINA@11055@5740@16370@@25
150D0261524@DIPIRONA 500mg TABLETA | CAJA X 500. ECAR@DIPIRONA@25@466@0@@6380
198D0740001@DIPIRONA+ISOMETHEPTENO+CAFEINA 30ml SOLUCION ORAL | FRASCO X 1. LAFRANCOL@DIPIRONA+ISOMETHEPTENO+CAFEINA@2@6@0@@0
174D0751669@DRUGTECH NEURACTIN 250mg TABLETA | CAJA X 30. LAFRANCOL@DIVALPROATO DE SODIO@840@180@1500@@10
11D0751663@VALCOTE RETARD 500mg TABLETA | FRASCO X 30. LAFRANCOL@DIVALPROATO DE SODIO@570@0@1140@@0
189D0771680@HARMETONE 10mg TABLETA | CAJA X 20. JANSSEN@DOMPERIDONA@150@40@260@@0
168D0771678@DOMPERIDONA 1mg/ml SUSPENSION ORAL | FRASCO X 60ml. GEN-FAR S.A@DOMPERIDONA@7@11@3@@81
168D0771677@DOMPERIDONA 10mg TABLETA | CAJA X 20. GEN-FAR S.A@DOMPERIDONA@1550@1005@2095@@6
189D0771681@HARMETONE 1mg/ml SUSPENSION ORAL | FRASCO X 60ml. JANSSEN@DOMPERIDONA@17@9@25@@201
175D0781687@GLIX 10mg TABLETA | CAJA X 30. GARMISCH@DONEPEZIL@15@30@0@@0
175D0781686@GLIX 5mg TABLETA | CAJA X 30. GARMISCH@DONEPEZIL@15@30@0@@0
1158D0810001@DORZOLAM 20mg SOLUCION OFTALMICAS | FRASCO X 5ml. TECNOQUIMICAS@DORZOLAMIDA@7@6@8@@397
175D0821698@PROSTARIDE 4mg TABLETA | CAJA X 30. GARMISCH@DOXAZOSINA@75@225@0@@30
192D0311547@DOXICICLINA 100mg TABLETA O CAPSULA | CAJA X 10. LA SANTE@DOXICICLINA@1103@1353@854@@0
1E101D0860001@DROSPERA 20 3mg/0.02mg TABLETA | CAJA X 28. EXELTIS@DROSPIRENONA+ETINILESTRADIOL@42@0@84@@0
1145D0880002@ALACIR 30mg CAPSULA | CAJA X 30. SCANDINAVIA@DULOXETINA@360@120@600@@0
173D0880001@NITEXOL (R) 60mg CAPSULA | FRASCO X 30. GRUNENTHAL@DULOXETINA@135@0@270@@20
171D0891720@AVODART 0.5mg CAPSULA | CAJA X 30. GLAXO@DUTASTERIDA@135@0@270@@0
171D0990001@DUODART 0.5mg/0.4mg CAPSULA | CAJA X 30. GLAXO@DUTASTERIDE-TAMSULOSINA@15@60@0@@510
1157D0990001@TAMSULON DUO 0.4/0.5mg CAPSULA | CAJA X 30. TECNOFARMA@DUTASTERIDE-TAMSULOSINA@2070@0@4140@@0
1101E0210067@EFAVIRENZ 600mg TABLETA | FRASCO X 30. LEGRAND@EFAVIRENZ@1215@1200@1230@@90
130E0211809@STOCRIN 600mg TABLETA | FRASCO X 30. MERCK SHARP DOMME@EFAVIRENZ@30@30@30@@0
132E530002@JARDIANCE 10mg TABLETA | CAJA X 30. BOEHRINGER@EMPAGLIFLOZINA@135@0@270@@0
132E530001@JARDIANCE 25mg TABLETA | CAJA X 30. BOEHRINGER@EMPAGLIFLOZINA@1455@210@2700@@0
1990L0190001@EMTRICITABINA+TENOFOVIR 300+200mg TABLETA | CAJA X 30. SALUSPHARMA S.A.S.@EMTRICITABINA+TENOFOVIR DISOPR@2190@750@3630@@0
198E0021730@ENALAPRIL 20mg TABLETA | CAJA X 150. LAFRANCOL@ENALAPRIL MALEATO@743@1645@0@@3
127E0020001@DONAPRIL 20mg TABLETA | CAJA X 1.000. BIOQUIFAR@ENALAPRIL MALEATO@584@0@1168@@4000
142E0020001@ENALAPRIL 5mg TABLETA | CAJA X 50. COASPHARMA@ENALAPRIL MALEATO@33@0@66@@0
198E0021729@ENALAPRIL 5mg TABLETA | CAJA X 150. LAFRANCOL@ENALAPRIL MALEATO@934@771@1098@@200
1125E0281829@CLENOX 80mg/0.8ml SOLUCION INYECTABLE | CAJA X 1. PROCAPS@ENOXAPARINA@60@0@120@@0
1125E0281828@CLENOX 60mg/0.6ml SOLUCION INYECTABLE | CAJA X 1. PROCAPS@ENOXAPARINA@302@167@438@@0
1125E0281827@CLENOX 40mg/0.4ml SOLUCION INYECTABLE | CAJA X 1. PROCAPS@ENOXAPARINA@90@306@0@@22
140E0280001@ENOXPAR 40mg SOLUCION INYECTABLE | CAJA X 2. CHALVER@ENOXAPARINA@222@14@430@@0
1116E029A1836@STALEVO 150/37.5/200mg TABLETA | FRASCO X 30. NOVARTIS@ENTACAPONA/LEVODOPA /CARBIDOPA MONOHIDRATADA@255@0@510@@0
1116E029A1838@STALEVO 50/12.5/200mg TABLETA | CAJA X 30. NOVARTIS@ENTACAPONA/LEVODOPA /CARBIDOPA MONOHIDRATADA@120@150@90@@0
1116E029A1837@STALEVO 200/50/200mg TABLETA | FRASCO X 30. NOVARTIS@ENTACAPONA/LEVODOPA /CARBIDOPA MONOHIDRATADA@120@120@120@@0
1116E029A1835@STALEVO 100/25/200mg TABLETA | CAJA X 30. NOVARTIS@ENTACAPONA/LEVODOPA /CARBIDOPA MONOHIDRATADA@405@720@90@@0
1145E0320001@ATERGIT 0.05gr/5ml SOLUCION OFTALMICAS | CAJA X 1. SCANDINAVIA@EPINASTINA CLORHIDRATO@1@0@3@@0
198E0750002@ACENOL 25mg TABLETA | CAJA X 30. LAFRANCOL@EPLERENONA@255@150@360@@0
1312E0060001@MIGRADOL 1mg/100mg TABLETA | CAJA X 100. SALUSPHARMA S.A.S.@ERGOTAMINA+CAFEINA@3214@2788@3640@@0
1158E0065282@FENCAFEN 100mg/1mg TABLETA O CAPSULA | CAJA X 500. TECNOQUIMICAS@ERGOTAMINA+CAFEINA@55@0@110@@18910
1158E0071749@ILOTICINA PLUS GEL  4% GEL | TUBO X 30GR. TECNOQUIMICAS@ERITROMICINA@4@11@0@@94
168E0071741@ERITROMICINA 500mg TABLETA O CAPSULA | CAJA X 50. GEN-FAR S.A@ERITROMICINA@57@89@26@@1080
146E0201800@ERITROPOYETINA HUMANA RECOMBINANTE (HU-R-EPO) 2000ui SOLUCION INYECTABLE | CAJA X 10. DELTA@ERITROPOYETINA@159@58@260@@9039
1125E0381870@ESOMEPRAZOL 40mg TABLETA | CAJA X 100. PROCAPS@ESOMEPRAZOL@3757@190@7325@@0
1115E0380004@ESOMED GRANULADO 10mg SOBRE | CAJA X 28. NOVAMED@ESOMEPRAZOL@0@18@0@@0
168E0381862@ESOMEPRAZOL RETARD 20mg TABLETA | CAJA X 300. GEN-FAR S.A@ESOMEPRAZOL@6257@230@12284@@184
198E0384036@NEDOX GRANULADO 10mg SOBRE | CAJA X 28. LAFRANCOL@ESOMEPRAZOL@126@0@252@@0
198E0181789@ESPIRAMICINA 3m.u.i. TABLETA | CAJA X 50. LAFRANCOL@ESPIRAMICINA@0@170@0@@50
195E0081759@ESPIROLAN 100mg TABLETA | CAJA X 20. LABINCO@ESPIRONOLACTONA@82@5@160@@960
168E0080001@ESPIRONOLACTONA 25mg TABLETA | CAJA X 300. GEN-FAR S.A@ESPIRONOLACTONA@727@270@1185@@542
198E0460001@ESTEINE 3.5mg OVULO O TABLETA VAGINAL | CAJA X 6. LAFRANCOL@ESTRIOL@17@22@12@@0
140E0460001@FEMTRIOL 0.1g CREMA VAGINAL | CAJA X 20g. CHALVER@ESTRIOL@2@5@0@@0
140E0111768@ESTERMAX  0.625mg TABLETA | CAJA X 28. CHALVER@ESTROGENOS CONJUGADOS@140@0@281@@0
1171E0121777@PREMARIN 0.3mg TABLETA | CAJA X 28. PFIZER@ESTROGENOS CONJUGADOS@14@28@0@@28
121E0110002@FEVENY ESTROGENOS 0.625mg/g TABLETA | CAJA X 28. B.C.N MEDICAL@ESTROGENOS CONJUGADOS@90@0@181@@5
1171E0121776@PREMARIN 0.625mg TABLETA | CAJA X 28. PFIZER@ESTROGENOS CONJUGADOS@0@12@0@@0
140E0111767@ESTERMAX 0.625mg CREMA VAGINAL | TUBO X 40g. CHALVER@ESTROGENOS CONJUGADOS@90@16@165@@0
1156E0690001@VALNOC RECUBIERTA 3mg TABLETA | CAJA X 15. LAFRANCOL@ESZOPICLONA@60@15@105@@14
1156E0690002@VALNOC RECUBIERTA 2mg TABLETA | CAJA X 15. LAFRANCOL@ESZOPICLONA@30@30@30@@210
198E0550001@ERICOX 60mg TABLETA | CAJA X 14. LAFRANCOL@ETORICOXIB@14@126@0@@0
198E0550003@ERICOX 90mg TABLETA | CAJA X 14. LAFRANCOL@ETORICOXIB@114@93@136@@0
189E0561897@INTELENCE 200mg TABLETA | CAJA X 60. JANSSEN@ETRAVIRINA@60@0@120@@0
168E0620001@EZETIMIBA 10mg TABLETA | CAJA X 20. GEN-FAR S.A@EZETIMIBA@1762@1525@2000@@6240
1125F0710001@GOUTEX 80mg CAPSULA | CAJA X 30. PROCAPS@FEBUXOSTAT@45@120@0@@0
1106F0562171@ALMAX NX 200mg TABLETA | CAJA X 10. NEVOX FARMA@FENAZOPIRIDINA@5@20@0@@530
1Q001F0020001@FENNYN 100mg TABLETA O CAPSULA | CAJA X 30. QUIRUPOS LTDA@FENITOINA SODICA@705@330@1080@@53760
1121F0021961@EPAMIN 2.5mg SUSPENSION ORAL | FRASCO X 240ml. PFIZER@FENITOINA SODICA@2@2@2@@0
1113F0031967@FENOBARBITAL 100mg TABLETA | CAJA X 30. MINSALUD@FENOBARBITAL@1830@930@2730@@0
1156F0212068@NORMOLIP 200mg TABLETA | CAJA X 20. LAFRANCOL@FENOFIBRATO@510@130@890@@2150
1125F0260001@FEXOFENADINA 120mg TABLETA | CAJA X 10. PROCAPS@FEXOFENADINA HCL@47@205@0@@0
150F0260001@FEXOFENADINA 180mg TABLETA | CAJA X 10. ECAR@FEXOFENADINA HCL@30@30@30@@1510
155F0262079@RINOLAST 120mg TABLETA | CAJA X 10. FARMA@FEXOFENADINA HCL@87@0@175@@0
1B002F0290001@VALGRASTIM 300mcg/5ml SOLUCION INYECTABLE | CAJA X 1. BR PHARMA INTERNACIONAL@FILGRASTIM@0@1@0@@0
1285F0310001@OPPTES 5mg TABLETA | CAJA X 28. HB HUMAN BIOSCIENCE@FINASTERIDE@196@56@336@@6468
1158F0332097@BLADURIL 200mg TABLETA O CAPSULA | CAJA X 10. TECNOQUIMICAS@FLAVOXATO HCL@0@23@0@@0
1115F0092004@FUNEX 200mg CAPSULA | CAJA X 210. NOVAMED@FLUCONAZOL@441@525@357@@6006
1312F0090001@FLUCONAZOL 50mg/5ml SUSPENSION ORAL | FRASCO X 20ml. SALUSPHARMA S.A.S.@FLUCONAZOL@0@19@0@@3
1109F0392112@ASTONIN H 0.10mg TABLETA | CAJA X 50. MERCK@FLUDROCORTISONA@50@150@0@@0
168F0372106@FLUNARIZINA 10mg TABLETA | CAJA X 30. GEN-FAR S.A@FLUNARIZINA@1355@1043@1667@@30
1151F0110001@FLUMETOL NF OFTENO 1mg SOLUCION OFTALMICAS | FRASCO X 5ML. SOPHIA@FLUOROMETALONA ACETATO@9@6@13@@1017
1129F0122017@5-FLUOROURACILO 5% UNGUENTO | TUBO X 30 GR. QUIFARMA@FLUOROURACILO@6@1@11@@0
1135F0132030@ANSIDEP JARABE 20mg/5ml SOLUCION ORAL | FRASCO X 70ML. SALUSPHARMA S.A.S.@FLUOXETINA CLOHIDRATO@7@5@9@@0
199F0132026@FLUOXETINA 20mg TABLETA O CAPSULA | CAJA X 300. LAPROFF@FLUOXETINA CLOHIDRATO@3710@4017@3403@@260
171F0472124@AVAMYS SPRAY NASAL 27.5mcg SUSPENSION PARA INHALAR | FRASCO X 120DOSIS. GLAXO@FLUTICASONA FUROATO@1@0@3@@50
171F0482126@FLIXOTIDE 250mcg SUSPENSION PARA INHALAR | FRASCO X 60DOSIS. GLAXO@FLUTICASONA PROPIONATO@1@3@0@@6
171F0482127@FLIXOTIDE 125mcg SUSPENSION PARA INHALAR | FRASCO X 120DOSIS. GLAXO@FLUTICASONA PROPIONATO@0@2@0@@2
171F0482125@FLIXOTIDE 50mcg SUSPENSION PARA INHALAR | FRASCO X 120DOSIS. GLAXO@FLUTICASONA PROPIONATO@0@3@0@@5
1G003F0490001@SIBET 25+125mcg SUSPENSION PARA INHALAR | FRASCO X 1. GLENMARK PHARMACEUTICALS@FLUTICASONA+SALMETEROL@5@3@7@@0
1116F0490002@AIRFLUSAL-SANDOZ 50mcg/250mcg POLVO PARA INHALACION	 | FRASCO X 60 DOSIS. NOVARTIS@FLUTICASONA+SALMETEROL@3@3@4@@13
1G003F0490002@SIBET 25+250mcg SUSPENSION PARA INHALAR | CAJA X 1. GLENMARK PHARMACEUTICALS@FLUTICASONA+SALMETEROL@3@8@0@@0
1116F0490003@AIRFLUSAL-SANDOZ 50mcg/500mcg SUSPENSION PARA INHALAR | FRASCO X 60 DOSIS. NOVARTIS@FLUTICASONA+SALMETEROL@3@9@0@@15
11F0510001@LUVOX 100mg TABLETA | CAJA X 30. LAFRANCOL@FLUVOXAMINA@225@0@450@@0
183F0510001@VOXAMIN  100mg TABLETA | CAJA X 15. INCOBRA@FLUVOXAMINA@90@0@180@@0
175F0152041@FOLICAL  15mg TABLETA | CAJA X 10. GARMISCH@FOLINATO DE CALCIO (ACIDO FOLINICO)@0@70@0@@0
1411F0780001@NEOCATE LCP 400gr POLVO PARA DISOLVER | CAJA X 4. NUTRICIA COLOMBIA LTDA@FORMULA HIPOALERGENICA@7@7@7@@28
171F0182062@TELZIR 700mg TABLETA | FRASCO X 60. GLAXO@FOSAMPRENAVIR@60@0@120@@120
1128F0750001@FLEET ENEMA 16+6g SOLUCION RECTAL | FRASCO X 133ml. QUIDECA@FOSFATO DE SODIO DIBASICO+MONO@16@0@32@@1183
1Q002F0750003@ENEMATROL SALINO 2.5gx1000ml SOLUCION RECTAL | CAJA X 12. QUIBI S.A.@FOSFATO DE SODIO DIBASICO+MONO@20@0@41@@0
