ROTACION DUANA @@@@@@@
CODIGO@MEDICAMENTO@MOLECULA@PROMEDIO MES@STOCK FARMACIA@PEDIDO 60 DIAS@@STOCK BODEGA
180A0370299@ABACAVIR 300mg TABLETA | FRASCO X 60. LEGRAND@ABACAVIR@15@60@0@@0
1116C1391381@ANAFRANIL RETARD-SANDOZ 75mg TABLETA | CAJA X 10. NOVARTIS@CLOMIPRAMINA@120@50@190@@0
180C0211075@CLOZAM 2.5mg/20ml SOLUCION ORAL | FRASCO X 1. HUMAX@CLONAZEPAM@28@28@28@@1159
168C0210001@CLONAZEPAM  0.5mg TABLETA | CAJA X 300. GEN-FAR S.A@CLONAZEPAM@72@60@85@@0
1175C0211028@COQUAN 0.5mg TABLETA | CAJA X 30. SIEGFRIED@CLONAZEPAM@857@1350@365@@0
180C0211019@CLONAZEPAM 2mg TABLETA | CAJA X 30. HUMAX@CLONAZEPAM@280@0@560@@0
180C0211076@CLONAZEPAM 2mg TABLETA | CAJA X 100. HUMAX@CLONAZEPAM@795@840@750@@35717
150C0470002@CLONIDINA 0.150mg TABLETA | CAJA X 500. ECAR@CLONIDINA@292@250@335@@62915
1145C1401382@DORIXINA RELAX 5/125mg TABLETA | CAJA X 100. SCANDINAVIA@CLONIXINATO DE LISINA+CICLOBENZAPRINA@22@30@15@@0
1M100C0730001@PLATEMAX 75mg TABLETA | CAJA X 30. MSN LABS AMERICAS @CLOPIDOGREL@631@496@767@@40
150C0271040@CLORFENIRAMINA 4mg TABLETA | CAJA X 500. ECAR@CLORFENIRAMINA@759@716@802@@16250
150C0271041@CLORFENIRAMINA JARABE 2mg/5ml SOLUCION ORAL | FRASCO X 120ML. ECAR@CLORFENIRAMINA@47@29@66@@1799
173C1461390@TRANSTEC 35mcg/h(20mg) SISTEMA TRANSDERMICO | CAJA X 5. GRUNENTHAL@CLORHIDRATO DE BUPRENORFINA@11@5@18@@0
180C0281042@CLOROQUINA 250mg TABLETA O CAPSULA | CAJA X 250. HUMAX@CLOROQUINA@851@1185@518@@17082
119S0042263@CLORURO DE SODIO REF:ARB1323 BOLSA 0.9% 500ml SOLUCION INYECTABLE | CAJA X 40. BAXTER@CLORURO DE SODIO@37@0@74@@13
119S0042260@CLORURO DE SODIO REF:ARB1302 BOLSA 0.9% 100ml SOLUCION INYECTABLE | CAJA X 100. BAXTER@CLORURO DE SODIO@5@6@4@@0
119S0042261@CLORURO DE SODIO  REF:ARB1322 BOLSA 0.9%  250ml SOLUCION INYECTABLE | CAJA X 56. BAXTER@CLORURO DE SODIO@14@8@20@@0
119S0042255@CLORURO DE SODIO REF:ARB1324 BOLSA 0.9% 1000ml SOLUCION INYECTABLE | CAJA X 20. BAXTER@CLORURO DE SODIO@1@9@0@@0
119S0044135@CLORURO DE SODIO REF:ARB1324 BOLSA 0.9% 1000ml SOLUCION INYECTABLE | CAJA X 20. BAXTER@CLORURO DE SODIO@1@0@4@@0
199C0311062@CLOTRIMAZOL 1% SOLUCION TOPICA | FRASCO X 30ML. LAPROFF@CLOTRIMAZOL@18@0@37@@0
1125C0311067@CLOTRIMAZOL 100mg OVULO O TABLETA VAGINAL | CAJA X 10. PROCAPS@CLOTRIMAZOL@30@30@31@@0
198C0311060@CLOTRIMAZOL TOPICO 1% CREMA | TUBO X 40GR. LAFRANCOL@CLOTRIMAZOL@164@192@138@@0
111C0311051@CLOTRIMAZOL 100mg OVULO O TABLETA VAGINAL | CAJA X 48. ANGLOPHARMA@CLOTRIMAZOL@28@107@0@@2259
198C0311061@CLOTRIMAZOL 1% CREMA VAGINAL | TUBO X 40g. LAFRANCOL@CLOTRIMAZOL@45@62@30@@0
168C1511403@CLOTRIMAZOL+NEOMICINA+BETAMETASONA 17 0.04+1+0.5% CREMA | TUBO X 40G. GEN-FAR S.A@CLOTRIMAZOL+NEOMICINA+BETAMETASONA 17@107@116@98@@0
1157C0321079@CLOZAPINA 25mg TABLETA | CAJA X 100. HUMAX@CLOZAPINA@745@930@560@@11130
12C0320043@CLOZAPINA 100mg TABLETA | CAJA X 100. HUMAX@CLOZAPINA@1272@1000@1545@@17330
1168C0341085@COLCHICINA 0.5mg TABLETA | CAJA X 40. GEN-FAR S.A@COLCHICINA@132@0@265@@10
154C0341084@COLCHICINA 0.5mg TABLETA | CAJA X 40. EXPOFARMA@COLCHICINA@55@0@110@@0
1734CND70001@HYFIBER 946ml SOLUCION ORAL | TARRO X 1. MEDTRITION@COLESTEROL-SODIO-POTASIO-FOSFO@1@0@2@@1
1168C0351086@COLESTIRAMINA 4g POLVO PARA DISOLVER | CAJA X 100. GEN-FAR S.A@COLESTIRAMINA@456@883@29@@10
1158C0361088@FIXAMICIN 15ml SUSPENSION OTICA | FRASCO X 1. TECNOQUIMICAS@COLISTINA SULFATO+HIDROCORTISONA+NEOMICINA SULFATO@8@16@0@@2255
199C1541416@COMPLEJO B . TABLETA | CAJA X 300. LAPROFF@COMPLEJO B@22@150@0@@191
150C1541412@COMPLEJO B 10ml SOLUCION INYECTABLE | CAJA X 12. ECAR@COMPLEJO B@4@0@10@@386
1203M0750002@DUMISOY D 400g POLVO PARA DISOLVER | CAJA X 24 LATAS. DUMIAN MEDICAL S.A.S@COMPLEMENTO ALIMENTICIO PROTEINA AISLADA DE SOYA@126@40@213@@0
1203A0600007@ACTISURE NINOS VAINILLA 400g POLVO PARA DISOLVER | CAJA X 24. DUMIAN MEDICAL S.A.S@COMPLEMENTO NUTRICIONAL@10@42@0@@0
1203A0600004@DUMISUREE 1000g POLVO PARA DISOLVER | CAJA X 6. DUMIAN MEDICAL S.A.S@COMPLEMENTO NUTRICIONAL@78@84@73@@0
1270A0600001@ACTISURE 400gr POLVO PARA DISOLVER | CAJA X 24. DUMIAN@COMPLEMENTO NUTRICIONAL@78@66@91@@0
11A0600395@ENSURE VAINILLA 400g POLVO PARA DISOLVER | CAJA X 24 LATAS. ABBOT LABORATORIOS DE COLOMBIA@COMPLEMENTO NUTRICIONAL@3@0@8@@12518
11A0600393@ENSURE VAINILLA 900g POLVO PARA DISOLVER | CAJA X 6 LATAS. ABBOT LABORATORIOS DE COLOMBIA@COMPLEMENTO NUTRICIONAL@10@0@20@@299
11A0600377@PEDIASURE VAINILLA 400mg POLVO PARA DISOLVER | CAJA X 24. LAFRANCOL (ABBOTT)@COMPLEMENTO NUTRICIONAL@20@14@26@@383
1151H0282435@HUMYLUB OFTENO 1+1.8mg SOLUCION OFTALMICAS | FRASCO X 15ML. SOPHIA@CONDROITIN+HIALURONATO@73@84@63@@332
1161A0430334@CREMA LUBRIDERM C/PERF EXTRA HUMEC . CREMA | FRASCO X 400ml. VARIOS E IMPORTADOS@COSMETICOS@1@1@2@@3
124C0410001@MIRATROL  2%5ml SOLUCION OFTALMICAS | CAJA X 1. BIOCHEM@CROMOGLICATO DE SODIO@0@1@0@@0
154C0411093@CROMOGLICATO DE SODIO 4% SOLUCION NASAL | FRASCO X 10ml. EXPOFARMA@CROMOGLICATO DE SODIO@1@4@0@@518
154C0411095@CROMOGLICATO DE SODIO 4% SOLUCION OFTALMICAS | FRASCO X 5ML. EXPOFARMA@CROMOGLICATO DE SODIO@13@16@10@@581
154C0411096@CROMOGLICATO DE SODIO 2% SOLUCION OFTALMICAS | FRASCO X 5ML. EXPOFARMA@CROMOGLICATO DE SODIO@2@9@0@@356
123C0411089@NAZOTRAL 2% SOLUCION NASAL | FRASCO X 5ml. BEST LTDA@CROMOGLICATO DE SODIO@0@2@0@@0
127C0420002@LIRODERM 10% LOCION | FRASCO X 60ml. BIOQUIFAR@CROTAMITON@6@0@13@@0
132D0391577@PRADAXA 110mg CAPSULA | CAJA X 30. BOEHRINGER@DABIGATRAN ETEXILATO@127@60@195@@60
132D0391578@PRADAXA  150mg CAPSULA | CAJA X 30. BOEHRINGER@DABIGATRAN ETEXILATO@378@0@758@@0
135D1120001@DAKLINZA 60mg TABLETA | CAJA X 28. BRISTOL@DACLATASVIR@14@0@28@@0
1121D0411579@FRAGMIN 2500ui SOLUCION INYECTABLE | CAJA X 10. PFIZER@DALTEPARINA@7@30@0@@0
1416D0020001@CIPLADANOGEN 200mg CAPSULA | CAJA X 30. AVALON PHARMACEUTICAL S.A@DANAZOL@195@150@240@@810
114D1100001@FORXIGA 10mg TABLETA | CAJA X 28. ASTRA ZENECA@DAPAGLIFLOZINA@141@56@226@@0
114D1160001@XIGDUO XR RECUBIERTA 10/1000mg TABLETA | CAJA X 28. ASTRA ZENECA@DAPAGLIFLOZINA+METFORMINA@462@168@756@@0
114D1160002@XIGDUO XR RECUBIERTA 5mg/1000mg TABLETA | CAJA X 56. ASTRA ZENECA@DAPAGLIFLOZINA+METFORMINA@28@112@0@@0
1116D0421581@ENABLEX RETARD 15mg TABLETA | CAJA X 28. ASPEN@DARIFENACINA@28@0@56@@0
1990E100001@DARUNAVIR 600mg TABLETA | CAJA X 30. SALUSPHARMA S.A.S.@DARUNAVIR@172@0@345@@0
1T004E100001@FURTHAS (R) 800mg TABLETA | CAJA X 30. THE LABS SAS@DARUNAVIR@345@150@540@@0
1T004E100002@FURTHAS 600mg TABLETA | CAJA X 60. THE LABS SAS@DARUNAVIR@90@60@120@@0
127D0471590@CORTIDEXAN 30mg TABLETA | CAJA X 10. BIOQUIFAR@DEFLAZACORT@148@435@0@@690
168D0471595@DEFLAZACORT 30mg TABLETA | CAJA X 10. GEN-FAR S.A@DEFLAZACORT@124@450@0@@0
127D0471591@CORTIDEXAN 6mg TABLETA | CAJA X 10. BIOQUIFAR@DEFLAZACORT@1325@1119@1533@@28390
192D0501614@DESLORATADINA 5mg TABLETA | CAJA X 60. LA SANTE@DESLORATADINA@1538@590@2487@@59
192D0501613@DESLORATADINA JARABEL 2.5mg/5ml(0.05g) SOLUCION ORAL | FRASCO X 60ml. LA SANTE@DESLORATADINA@75@172@0@@1
168D0501607@DESLORATADINA 5mg TABLETA | CAJA X 10. GEN-FAR S.A@DESLORATADINA@324@0@648@@20
147D0511625@DESONIDA 0.05% CREMA | TUBO X 15GR. SIEGFRIED@DESONIDA@22@49@0@@8
124D0511623@TRESILEN 0.5% CREMA | TUBO X 15G. BIOCHEM@DESONIDA@57@0@116@@0
124D0511624@TRESILEN 0.10% CREMA | TUBO X 15g. BIOCHEM@DESONIDA@50@100@1@@879
1121D0904719@PRISTIQ 50mg TABLETA | CAJA X 28. PFIZER@DESVENLAFAXINA@56@56@56@@0
151D0581639@OPHTHASONA 0.1% SOLUCION OFTALMICAS | FRASCO X 5ML. ESPECIALIDADES OFT@DEXAMETASONA@11@0@23@@3
1163D0061445@DEXAMETASONA 4mg/ml SOLUCION INYECTABLE | CAJA X 10. VITALIS@DEXAMETASONA@19@17@23@@8365
1163D0061446@DEXAMETASONA FOSFATO 8mg/2ml SOLUCION INYECTABLE | CAJA X 10. VITALIS@DEXAMETASONA@45@55@36@@10324
1163D0151480@DICLOFENACO 75mg SOLUCION INYECTABLE | CAJA X 10. VITALIS@DICLOFENACO@125@0@251@@13
145D0150001@DICLOFENACO  75mg/3ml SOLUCION INYECTABLE | CAJA X 100. CORPAUL@DICLOFENACO@24@52@0@@0
168D0151457@DICLOFENACO GEL  1% GEL | TUBO X 50G. GEN-FAR S.A@DICLOFENACO@614@530@698@@0
1151D0150001@3A OFTENO 0.1% SOLUCION OFTALMICAS | FRASCO X 5ML. SOPHIA@DICLOFENACO@2@4@2@@57
168D0151456@DICLOFENACO 50mg TABLETA | CAJA X 30. GEN-FAR S.A@DICLOFENACO@155@281@31@@6
150D0150002@DICLOFENACO 50mg TABLETA | CAJA X 500. ECAR@DICLOFENACO@204@381@28@@46708
192D0161489@DICLOXACILINA 250mg/5ml SUSPENSION ORAL | FRASCO X 80ML. LA SANTE@DICLOXACILINA@0@3@0@@21
127D0160042@CLOXIDIN 500mg CAPSULA | CAJA X 250. BIOQUIFAR@DICLOXACILINA@430@515@346@@2250
1E101D1070001@METRINELLE 2mg TABLETA | CAJA X 28. EXELTIS@DIENOGEST@212@138@287@@0
1E101D0950001@DIENILLE 2+0.03mg TABLETA | CAJA X 21. EXELTIS@DIENOGEST-ETINILESTRADIOL@84@63@105@@0
199D0181495@DIFENHIDRAMINA JARABE 12.5mg/5ml SOLUCION ORAL | FRASCO X 120ML. LAPROFF@DIFENHIDRAMINA@5@12@0@@894
1312D0180001@DIFENHIDRAMINA 50mg CAPSULA | CAJA X 100. SALUSPHARMA S.A.S.@DIFENHIDRAMINA@458@147@771@@460
180D0200001@DIHIDROCODEINA BITARTRATO  JARABE 120ml SOLUCION ORAL | FRASCO X 1. HUMAX@DIHIDROCODEINA BITARTRATO@29@32@28@@834
1168D0201505@DIHIDROCODEINA JARABE 12.1mg/5ml SOLUCION ORAL | FRASCO X 120ML. WINTHROOP@DIHIDROCODEINA BITARTRATO@6@0@13@@0
168D0361565@DILTIAZEM 60mg TABLETA | CAJA X 20. GEN-FAR S.A@DILTIAZEM@832@60@1605@@10
150D0231510@PASEDOL 50mg TABLETA | BOLSA X 600. ECAR@DIMENHIDRINATO@788@1201@376@@28035
1156D0701654@SMECTA 3g POLVO PARA DISOLVER | CAJA X 10. LAFRANCOL@DIOSMECTITA@0@7@0@@0
126F0602178@DAFLON 500mg TABLETA | CAJA X 30. LABORATORIOS SERVIER DE COLOMB@DIOSMINA + HESPERIDINA@10320@5890@14750@@25
150D0261524@DIPIRONA 500mg TABLETA | CAJA X 500. ECAR@DIPIRONA@25@466@0@@6380
198D0740001@DIPIRONA+ISOMETHEPTENO+CAFEINA 30ml SOLUCION ORAL | FRASCO X 1. LAFRANCOL@DIPIRONA+ISOMETHEPTENO+CAFEINA@3@6@0@@0
11D0751663@VALCOTE RETARD 500mg TABLETA | FRASCO X 30. LAFRANCOL@DIVALPROATO DE SODIO@427@0@855@@0
174D0751669@DRUGTECH NEURACTIN 250mg TABLETA | CAJA X 30. LAFRANCOL@DIVALPROATO DE SODIO@832@330@1335@@10
189D0771680@HARMETONE 10mg TABLETA | CAJA X 20. JANSSEN@DOMPERIDONA@90@40@140@@0
189D0771681@HARMETONE 1mg/ml SUSPENSION ORAL | FRASCO X 60ml. JANSSEN@DOMPERIDONA@25@9@42@@201
168D0771677@DOMPERIDONA 10mg TABLETA | CAJA X 20. GEN-FAR S.A@DOMPERIDONA@1475@1095@1855@@6
168D0771678@DOMPERIDONA 1mg/ml SUSPENSION ORAL | FRASCO X 60ml. GEN-FAR S.A@DOMPERIDONA@6@11@1@@81
175D0781686@GLIX 5mg TABLETA | CAJA X 30. GARMISCH@DONEPEZIL@7@30@0@@0
175D0781687@GLIX 10mg TABLETA | CAJA X 30. GARMISCH@DONEPEZIL@7@30@0@@0
1158D0810001@DORZOLAM 20mg SOLUCION OFTALMICAS | FRASCO X 5ml. TECNOQUIMICAS@DORZOLAMIDA@6@8@4@@407
175D0821698@PROSTARIDE 4mg TABLETA | CAJA X 30. GARMISCH@DOXAZOSINA@97@225@0@@30
192D0311547@DOXICICLINA 100mg TABLETA O CAPSULA | CAJA X 10. LA SANTE@DOXICICLINA@946@1453@441@@0
168D0310001@DOXICICLINA 100mg TABLETA O CAPSULA | CAJA X 100. GEN-FAR S.A@DOXICICLINA@90@0@182@@0
1145D0880001@ALACIR 60mg CAPSULA | CAJA X 30. SCANDINAVIA@DULOXETINA@22@0@45@@0
173D0880001@NITEXOL (R) 60mg CAPSULA | FRASCO X 30. GRUNENTHAL@DULOXETINA@90@30@150@@20
1145D0880002@ALACIR 30mg CAPSULA | CAJA X 30. SCANDINAVIA@DULOXETINA@367@120@615@@0
171D0990001@DUODART 0.5mg/0.4mg CAPSULA | CAJA X 30. GLAXO@DUTASTERIDE-TAMSULOSINA@30@60@0@@510
1157D0990001@TAMSULON DUO 0.4/0.5mg CAPSULA | CAJA X 30. TECNOFARMA@DUTASTERIDE-TAMSULOSINA@1597@0@3195@@0
1101E0210067@EFAVIRENZ 600mg TABLETA | FRASCO X 30. LEGRAND@EFAVIRENZ@1245@1200@1290@@90
130E0211809@STOCRIN 600mg TABLETA | FRASCO X 30. MERCK SHARP DOMME@EFAVIRENZ@30@30@30@@0
132E530001@JARDIANCE 25mg TABLETA | CAJA X 30. BOEHRINGER@EMPAGLIFLOZINA@1252@210@2295@@0
132E530002@JARDIANCE 10mg TABLETA | CAJA X 30. BOEHRINGER@EMPAGLIFLOZINA@90@0@180@@0
1990L0190001@EMTRICITABINA+TENOFOVIR 300+200mg TABLETA | CAJA X 30. SALUSPHARMA S.A.S.@EMTRICITABINA+TENOFOVIR DISOPR@2085@780@3390@@0
142E0020001@ENALAPRIL 5mg TABLETA | CAJA X 50. COASPHARMA@ENALAPRIL MALEATO@162@0@326@@0
127E0020001@DONAPRIL 20mg TABLETA | CAJA X 1.000. BIOQUIFAR@ENALAPRIL MALEATO@337@0@674@@4000
198E0021729@ENALAPRIL 5mg TABLETA | CAJA X 150. LAFRANCOL@ENALAPRIL MALEATO@752@831@674@@200
198E0021730@ENALAPRIL 20mg TABLETA | CAJA X 150. LAFRANCOL@ENALAPRIL MALEATO@902@1705@100@@3
140E0280002@ENOXPAR 60mg SOLUCION INYECTABLE | CAJA X 2. CHALVER@ENOXAPARINA@41@0@84@@1
1125E0281828@CLENOX 60mg/0.6ml SOLUCION INYECTABLE | CAJA X 1. PROCAPS@ENOXAPARINA@217@167@268@@0
1125E0281827@CLENOX 40mg/0.4ml SOLUCION INYECTABLE | CAJA X 1. PROCAPS@ENOXAPARINA@30@366@0@@22
140E0280001@ENOXPAR 40mg SOLUCION INYECTABLE | CAJA X 2. CHALVER@ENOXAPARINA@271@14@529@@0
1116E029A1838@STALEVO 50/12.5/200mg TABLETA | CAJA X 30. NOVARTIS@ENTACAPONA/LEVODOPA /CARBIDOPA MONOHIDRATADA@120@150@90@@0
1116E029A1836@STALEVO 150/37.5/200mg TABLETA | FRASCO X 30. NOVARTIS@ENTACAPONA/LEVODOPA /CARBIDOPA MONOHIDRATADA@270@0@540@@0
1116E029A1837@STALEVO 200/50/200mg TABLETA | FRASCO X 30. NOVARTIS@ENTACAPONA/LEVODOPA /CARBIDOPA MONOHIDRATADA@127@120@135@@0
1116E029A1835@STALEVO 100/25/200mg TABLETA | CAJA X 30. NOVARTIS@ENTACAPONA/LEVODOPA /CARBIDOPA MONOHIDRATADA@720@720@720@@0
198E0750002@ACENOL 25mg TABLETA | CAJA X 30. LAFRANCOL@EPLERENONA@202@150@255@@0
1158E0065282@FENCAFEN 100mg/1mg TABLETA O CAPSULA | CAJA X 500. TECNOQUIMICAS@ERGOTAMINA+CAFEINA@251@0@503@@19410
1312E0060001@MIGRADOL 1mg/100mg TABLETA | CAJA X 100. SALUSPHARMA S.A.S.@ERGOTAMINA+CAFEINA@2898@3042@2755@@0
168E0071741@ERITROMICINA 500mg TABLETA O CAPSULA | CAJA X 50. GEN-FAR S.A@ERITROMICINA@49@89@9@@1080
1158E0071749@ILOTICINA PLUS GEL  4% GEL | TUBO X 30GR. TECNOQUIMICAS@ERITROMICINA@6@12@0@@94
146E0201800@ERITROPOYETINA HUMANA RECOMBINANTE (HU-R-EPO) 2000ui SOLUCION INYECTABLE | CAJA X 10. DELTA@ERITROPOYETINA@134@58@211@@9093
1125E0381870@ESOMEPRAZOL 40mg TABLETA | CAJA X 100. PROCAPS@ESOMEPRAZOL@4402@400@8405@@0
168E0381862@ESOMEPRAZOL RETARD 20mg TABLETA | CAJA X 300. GEN-FAR S.A@ESOMEPRAZOL@10086@415@19757@@184
198E0384036@NEDOX GRANULADO 10mg SOBRE | CAJA X 28. LAFRANCOL@ESOMEPRAZOL@112@0@224@@0
1115E0380004@ESOMED GRANULADO 10mg SOBRE | CAJA X 28. NOVAMED@ESOMEPRAZOL@0@18@0@@0
198E0181789@ESPIRAMICINA 3m.u.i. TABLETA | CAJA X 50. LAFRANCOL@ESPIRAMICINA@45@170@0@@50
168E0080001@ESPIRONOLACTONA 25mg TABLETA | CAJA X 300. GEN-FAR S.A@ESPIRONOLACTONA@570@330@811@@602
195E0081759@ESPIROLAN 100mg TABLETA | CAJA X 20. LABINCO@ESPIRONOLACTONA@41@35@48@@960
180E0081758@ESPIRONOLACTONA 100mg TABLETA | CAJA X 100. HUMAX@ESPIRONOLACTONA@7@0@15@@0
198E0460001@ESTEINE 3.5mg OVULO O TABLETA VAGINAL | CAJA X 6. LAFRANCOL@ESTRIOL@15@22@9@@0
140E0460001@FEMTRIOL 0.1g CREMA VAGINAL | CAJA X 20g. CHALVER@ESTRIOL@3@5@2@@0
1171E0121776@PREMARIN 0.625mg TABLETA | CAJA X 28. PFIZER@ESTROGENOS CONJUGADOS@0@12@0@@0
140E0111767@ESTERMAX 0.625mg CREMA VAGINAL | TUBO X 40g. CHALVER@ESTROGENOS CONJUGADOS@65@54@77@@0
121E0110002@FEVENY ESTROGENOS 0.625mg/g TABLETA | CAJA X 28. B.C.N MEDICAL@ESTROGENOS CONJUGADOS@144@0@288@@5
1171E0121777@PREMARIN 0.3mg TABLETA | CAJA X 28. PFIZER@ESTROGENOS CONJUGADOS@14@28@0@@28
1156E0690002@VALNOC RECUBIERTA 2mg TABLETA | CAJA X 15. LAFRANCOL@ESZOPICLONA@22@30@15@@210
1156E0690001@VALNOC RECUBIERTA 3mg TABLETA | CAJA X 15. LAFRANCOL@ESZOPICLONA@41@15@68@@14
198E0550003@ERICOX 90mg TABLETA | CAJA X 14. LAFRANCOL@ETORICOXIB@123@98@148@@0
198E0550001@ERICOX 60mg TABLETA | CAJA X 14. LAFRANCOL@ETORICOXIB@7@126@0@@0
1158E0550001@ANEXIA 60mg TABLETA | CAJA X 14. TECNOQUIMICAS@ETORICOXIB@17@0@35@@7
1158E0550002@ANEXIA 90mg TABLETA | CAJA X 14. TECNOQUIMICAS@ETORICOXIB@7@0@14@@0
189E0561897@INTELENCE 200mg TABLETA | CAJA X 60. JANSSEN@ETRAVIRINA@60@0@120@@0
168E0620001@EZETIMIBA 10mg TABLETA | CAJA X 20. GEN-FAR S.A@EZETIMIBA@1653@1645@1663@@6240
1125F0710001@GOUTEX 80mg CAPSULA | CAJA X 30. PROCAPS@FEBUXOSTAT@45@120@0@@0
1106F0562171@ALMAX NX 200mg TABLETA | CAJA X 10. NEVOX FARMA@FENAZOPIRIDINA@2@20@0@@530
1121F0021961@EPAMIN 2.5mg SUSPENSION ORAL | FRASCO X 240ml. PFIZER@FENITOINA SODICA@2@2@2@@0
1Q001F0020001@FENNYN 100mg TABLETA O CAPSULA | CAJA X 30. QUIRUPOS LTDA@FENITOINA SODICA@652@330@975@@53760
1113F0031967@FENOBARBITAL 100mg TABLETA | CAJA X 30. MINSALUD@FENOBARBITAL@1682@1040@2325@@0
1156F0212068@NORMOLIP 200mg TABLETA | CAJA X 20. LAFRANCOL@FENOFIBRATO@450@160@740@@2150
155F0262079@RINOLAST 120mg TABLETA | CAJA X 10. FARMA@FEXOFENADINA HCL@115@0@230@@0
1125F0260001@FEXOFENADINA 120mg TABLETA | CAJA X 10. PROCAPS@FEXOFENADINA HCL@23@205@0@@0
150F0260001@FEXOFENADINA 180mg TABLETA | CAJA X 10. ECAR@FEXOFENADINA HCL@15@30@0@@1510
1B002F0290001@VALGRASTIM 300mcg/5ml SOLUCION INYECTABLE | CAJA X 1. BR PHARMA INTERNACIONAL@FILGRASTIM@2@1@3@@0
1285F0310001@OPPTES 5mg TABLETA | CAJA X 28. HB HUMAN BIOSCIENCE@FINASTERIDE@133@84@182@@6468
1158F0332097@BLADURIL 200mg TABLETA O CAPSULA | CAJA X 10. TECNOQUIMICAS@FLAVOXATO HCL@2@23@0@@0
1115F0092004@FUNEX 200mg CAPSULA | CAJA X 210. NOVAMED@FLUCONAZOL@462@540@384@@6216
1312F0090001@FLUCONAZOL 50mg/5ml SUSPENSION ORAL | FRASCO X 20ML. SALUSPHARMA S.A.S.@FLUCONAZOL@4@19@0@@3
1109F0392112@ASTONIN H 0.10mg TABLETA | CAJA X 50. MERCK@FLUDROCORTISONA@37@150@0@@0
168F0372106@FLUNARIZINA 10mg TABLETA | CAJA X 30. GEN-FAR S.A@FLUNARIZINA@1467@1103@1832@@30
1151F0110001@FLUMETOL NF OFTENO 1mg SOLUCION OFTALMICAS | FRASCO X 5ML. SOPHIA@FLUOROMETALONA ACETATO@7@6@8@@1039
1129F0122017@5-FLUOROURACILO 5% UNGUENTO | TUBO X 30 GR. QUIFARMA@FLUOROURACILO@5@2@8@@0
1135F0132030@ANSIDEP JARABE 20mg/5ml SOLUCION ORAL | FRASCO X 70ML. SALUSPHARMA S.A.S.@FLUOXETINA CLOHIDRATO@5@5@6@@0
199F0132026@FLUOXETINA 20mg TABLETA O CAPSULA | CAJA X 300. LAPROFF@FLUOXETINA CLOHIDRATO@3821@4197@3446@@260
171F0472124@AVAMYS SPRAY NASAL 27.5mcg SUSPENSION PARA INHALAR | FRASCO X 120DOSIS. GLAXO@FLUTICASONA FUROATO@1@1@3@@50
171F0482126@FLIXOTIDE 250mcg SUSPENSION PARA INHALAR | FRASCO X 60DOSIS. GLAXO@FLUTICASONA PROPIONATO@1@3@0@@6
171F0482127@FLIXOTIDE 125mcg SUSPENSION PARA INHALAR | FRASCO X 120DOSIS. GLAXO@FLUTICASONA PROPIONATO@0@2@0@@6
171F0482125@FLIXOTIDE 50mcg SUSPENSION PARA INHALAR | FRASCO X 120DOSIS. GLAXO@FLUTICASONA PROPIONATO@0@3@0@@5
1G003F0490001@SIBET 25+125mcg SUSPENSION PARA INHALAR | FRASCO X 1. GLENMARK PHARMACEUTICALS@FLUTICASONA+SALMETEROL@4@3@5@@0
1116F0490003@AIRFLUSAL-SANDOZ 50mcg/500mcg SUSPENSION PARA INHALAR | FRASCO X 60 DOSIS. NOVARTIS@FLUTICASONA+SALMETEROL@4@9@0@@15
1116F0490002@AIRFLUSAL-SANDOZ 50mcg/250mcg POLVO PARA INHALACION	 | FRASCO X 60 DOSIS. NOVARTIS@FLUTICASONA+SALMETEROL@3@3@4@@13
1G003F0490002@SIBET 25+250mcg SUSPENSION PARA INHALAR | CAJA X 1. GLENMARK PHARMACEUTICALS@FLUTICASONA+SALMETEROL@4@8@1@@0
183F0510001@VOXAMIN  100mg TABLETA | CAJA X 15. INCOBRA@FLUVOXAMINA@296@0@593@@0
175F0152041@FOLICAL  15mg TABLETA | CAJA X 10. GARMISCH@FOLINATO DE CALCIO (ACIDO FOLINICO)@15@70@0@@0
1411F0780001@NEOCATE LCP 400gr POLVO PARA DISOLVER | CAJA X 4. NUTRICIA COLOMBIA LTDA@FORMULA HIPOALERGENICA@7@7@7@@28
1277F0570001@FOSTREN SOBRES 3gr POLVO PARA DISOLVER | CAJA X 1. NEVOX FARMA@FOSFOMICINA TROMETAMOL@14@0@28@@66
1109F0622183@ANEMIDOX 330+1.000+100mg TABLETA | FRASCO X 20. MERCK@FUMARATO FERROSO+ACIDO FOLICO+ACIDO ASCORBICO@45@120@0@@0
199F0620001@IOFI 60+70+0.40mg TABLETA | FRASCO X 30. LAPROFF@FUMARATO FERROSO+ACIDO FOLICO+ACIDO ASCORBICO@67@60@75@@6000
1158F0170002@FUROSEMIDA 40mg TABLETA | CAJA X 300. TECNOQUIMICAS@FUROSEMIDA@866@1350@384@@30
1116GP220001@GABAPENTINA 300mg CAPSULA | CAJA X 10. NOVARTIS@GABAPENTINA@1172@2010@335@@0
1101G0222237@KAPTIN  300mg CAPSULA | CAJA X 100. LEGRAND@GABAPENTINA@562@0@1125@@70
1101G0222239@KAPTIN 400mg CAPSULA | CAJA X 100. LEGRAND@GABAPENTINA@690@837@544@@2587
1161G0270001@VIRGAN GEL 5g SOLUCION OFTALMICAS | TUBO X 1. QUIDECA@GANCICLOVIR@0@1@1@@3
